language,algorithm,fib_n,fib,time_ms
python,iterate,10,55,0.002145767
python,iterate,10,55,0.000953674
python,iterate,10,55,0.000000000
python,iterate,10,55,0.001192093
python,iterate,10,55,0.000953674
python,iterate,10,55,0.000000000
python,iterate,10,55,0.000000000
python,iterate,10,55,0.000000000
python,iterate,10,55,0.000953674
python,iterate,10,55,0.000000000
python,yield__,10,55,0.002145767
python,yield__,10,55,0.001668930
python,yield__,10,55,0.001192093
python,yield__,10,55,0.000953674
python,yield__,10,55,0.000953674
python,yield__,10,55,0.000953674
python,yield__,10,55,0.000715256
python,yield__,10,55,0.001192093
python,yield__,10,55,0.001192093
python,yield__,10,55,0.000953674
python,recur__,10,55,0.010967255
python,recur__,10,55,0.010013580
python,recur__,10,55,0.009775162
python,recur__,10,55,0.009059906
python,recur__,10,55,0.010013580
python,recur__,10,55,0.009059906
python,recur__,10,55,0.009059906
python,recur__,10,55,0.008821487
python,recur__,10,55,0.008821487
python,recur__,10,55,0.010013580
nodejs,iterate,10,55,0.05537
nodejs,iterate,10,55,0.00383
nodejs,iterate,10,55,0.00100
nodejs,iterate,10,55,0.00087
nodejs,iterate,10,55,0.00308
nodejs,iterate,10,55,0.00104
nodejs,iterate,10,55,0.00079
nodejs,iterate,10,55,0.00117
nodejs,iterate,10,55,0.00129
nodejs,iterate,10,55,0.00108
nodejs,yield__,10,55,0.03763
nodejs,yield__,10,55,0.09079
nodejs,yield__,10,55,0.00754
nodejs,yield__,10,55,0.01038
nodejs,yield__,10,55,0.00229
nodejs,yield__,10,55,0.00208
nodejs,yield__,10,55,0.00267
nodejs,yield__,10,55,0.00200
nodejs,yield__,10,55,0.00196
nodejs,yield__,10,55,0.00200
nodejs,recur__,10,55,0.02383
nodejs,recur__,10,55,0.00621
nodejs,recur__,10,55,0.00608
nodejs,recur__,10,55,0.00633
nodejs,recur__,10,55,0.00625
nodejs,recur__,10,55,0.00617
nodejs,recur__,10,55,0.00617
nodejs,recur__,10,55,0.00613
nodejs,recur__,10,55,0.06683
nodejs,recur__,10,55,0.00408
